Config,P40,P100,V100
0,Done,Pending,Pending
1,Done,Done,Pending
12,Done,Done,Pending
13,Done,Done,Done
14,Done,Done,Done
15,Done,Done,Pending
16,Done,Done,Done
17,Done,Done,Done
18,Done,Done,Pending
19,Done,Done,Pending
20,Done,Done,Done
21,Pending,Done,Pending
22,Done,Done,Done
23,Done,Done,Done
4,Done,Pending,Pending
24,Done,Pending,Done
25,Done,Pending,Done
26,Done,Pending,Done
27,Done,Pending,Done
28,Done,Pending,Done
29,Done,Pending,Pending
30,Done,Pending,Pending
31,Done,Pending,Pending
32,Done,Pending,Pending
33,Done,Pending,Pending
34,Done,Pending,Pending
35,Done,Pending,Done
36,Done,Pending,Done
37,Done,Pending,Done
38,Done,Pending,Pending
39,Done,Pending,Pending
40,Done,Pending,Pending
41,Done,Pending,Pending
42,Done,Pending,Pending
43,Done,Pending,Pending
44,Done,Pending,Pending
45,Done,Pending,Done
46,Done,Pending,Done
47,Pending,Pending,Done
48,Pending,Pending,Pending
49,Pending,Pending,Pending
50,Pending,Pending,Pending
51,Pending,Pending,Pending
52,Pending,Pending,Pending
53,Pending,Pending,Pending
54,Pending,Pending,Pending
55,Pending,Pending,Pending
56,Pending,Pending,Pending
57,Pending,Pending,Pending
58,Pending,Pending,Pending
59,Pending,Pending,Pending
60,Pending,Pending,Pending
61,Pending,Pending,Pending
62,Pending,Pending,Pending
63,Pending,Pending,Pending
64,Pending,Pending,Pending
65,Pending,Pending,Pending
66,Pending,Pending,Pending
67,Pending,Pending,Pending
68,Pending,Pending,Pending
69,Pending,Pending,Pending
70,Pending,Pending,Pending
71,Pending,Pending,Pending
72,Pending,Pending,Pending
